Bangladesh medical journal,Bangladesh Med J
Fortschritte der psychosomatischen Medizin. Advances in psychosomatic medicine,Fortschr Psychosom Med
Tohoku Shika Daigaku Gakkai shi,Tohoku Shika Daigaku Gakkai Shi
Wiener medizinische Wochenschrift (1946),Wien Med Wochenschr
De Paul law review,De Paul Law Rev
Frontiers in bioscience : a journal and virtual library,Front Biosci
Journal of agromedicine,J Agromedicine
Journal of applied microbiology,J Appl Microbiol
Neurobiology of lipids,Neurobiol Lipids
Cuadernos de farmacologia,Cuad Farmacol
Industrial health review,Ind Health Rev
Platelets,Platelets
Obstetrics and gynecology annual,Obstet Gynecol Annu
Praxis der Psychotherapie und Psychosomatik,Prax Psychother Psychosom
The open nursing journal,Open Nurs J
[Kagaku] [Science],Kagaku
Revue francaise d'etudes americaines,Rev Fr Etud Am
"Annals of the Academy of Medicine, Singapore",Ann Acad Med Singapore
"Radiobiologia, radiotherapia",Radiobiol Radiother (Berl)
Zentralblatt fur Gynakologie,Zentralbl Gynakol
Proceedings of the Australian Association of Neurologists,Proc Aust Assoc Neurol
Trends in immunology,Trends Immunol
Manushi,Manushi
International journal of sports science \& coaching,Int J Sports Sci Coach
Journal of environmental management,J Environ Manage
Journal of social work practice in the addictions,J Soc Work Pract Addict
Quarterly bulletin of Chinese bibliography,Q Bull Chin Bibliogr
Health outcomes research in medicine,Health Outcomes Res Med
International journal of numerical analysis and modeling,Int J Numer Anal Model
Nuncius / Istituto e museo di storia della scienza,Nuncius
Proceedings of the ... International Symposium on High Performance Distributed Computing,Proc Int Symp High Perform Distrib Comput
"BIOforum : biologische Chemie, Mikrobiologie, Genetik, Immunologie, Virologie, Biotechnologie",Bioforum
"Acta radiologica (Stockholm, Sweden : 1987)",Acta Radiol
Brain research. Brain research protocols,Brain Res Brain Res Protoc
Industrial medicine \& surgery,Ind Med Surg
Nederlands tijdschrift voor geneeskunde,Ned Tijdschr Geneeskd
Geriatrie et psychologie neuropsychiatrie du vieillissement,Geriatr Psychol Neuropsychiatr Vieil
Molecular \& cellular proteomics : MCP,Mol Cell Proteomics
Revista de sanidad militar,Rev Sanid Milit
Issues in medical ethics,Issues Med Ethics
Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India,Indian J Otolaryngol Head Neck Surg
The Pakistan nursing and health review,Pak Nurs Health Rev
Earth and mineral sciences,Earth Miner Sci
"Rural history : economy, society, culture",Rural Hist
Basal ganglia,Basal Ganglia
Scandinavian journal of infectious diseases,Scand J Infect Dis
Proceedings (Baylor University. Medical Center),Proc (Bayl Univ Med Cent)
"Zentralblatt fur Bakteriologie, Mikrobiologie, und Hygiene. Series A, Medical microbiology, infectious diseases, virology, parasitology",Zentralbl Bakteriol Mikrobiol Hyg A
Christ to the world,Christ World
The Journal of endocrinology,J Endocrinol
"Heartbeat (San Francisco, Calif.)",Heartbeat
Labour economics,Labour Econ
Health care financing review. Statistical supplement,Health Care Financ Rev Stat Suppl
Boletin de la Sociedad Valenciana de Pediatria,Bol Soc Valencia Pediatr
Folia biologica,Folia Biol (Praha)
World citizen news : newsletter of the World Government of World Citizens,World Citz News
Rajasthan medical journal,Rajasthan Med J
Revue roumaine de morphologie et d'embryologie,Rev Roum Morphol Embryol
Current pharmacogenomics and personalized medicine,Curr Pharmacogenomics Person Med
Topics in hospital pharmacy management / Aspen Systems Corporation,Top Hosp Pharm Manage
Health care financing review,Health Care Financ Rev
Revista del Museo de la Facultad de Odontologia de Buenos Aires,Rev Museo Fac Odontol B Aires
Medical economics,Med Econ
Bulletin. University of London. Institute of Classical Studies,Bull Inst Class Stud Univ Lond
Minerva psichiatrica,Minerva Psichiatr
Texas law review,Tex Law Rev
Igaku kenkyu. Acta medica,Igaku Kenkyu
Antibiotics and chemotherapy,Antibiot Chemother
SIAM journal on applied mathematics,SIAM J Appl Math
Inflammation and regeneration,Inflamm Regen
BMC microbiology,BMC Microbiol
Comptes rendus hebdomadaires des seances de l'Academie des sciences. Serie D: Sciences naturelles,C R Acad Sci Hebd Seances Acad Sci D
The Japanese journal of tuberculosis,Jpn J Tuberc
Journal of oral therapeutics and pharmacology,J Oral Ther Pharmacol
Case reports in medicine,Case Report Med
Journal of applied physics,J Appl Phys
Archiv fur experimentelle Veterinarmedizin,Arch Exp Veterinarmed
Der Altsprachliche Unterricht,Altsprachi Unterr
Revista estomatologica de Cuba,Rev Estomatol Cuba
Medical molecular morphology,Med Mol Morphol
ACS combinatorial science,ACS Comb Sci
Circulation. Arrhythmia and electrophysiology,Circ Arrhythm Electrophysiol
Journal of prevention \& intervention in the community,J Prev Interv Community
"Alcohol, drugs, and driving",Alcohol Drugs Driving
Canadian oncology nursing journal,Can Oncol Nurs J
Psychological assessment,Psychol Assess
Journal of mental health research in intellectual disabilities,J Ment Health Res Intellect Disabil
The Canadian journal of human sexuality,Can J Hum Sex
Suicide \& life-threatening behavior,Suicide Life Threat Behav
Epidemiology and infection,Epidemiol Infect
Idaho law review,Ida Law Rev
Korean journal of pediatrics,Korean J Pediatr
Journal of the Southwest,J Southwest
Western folklore,West Folk
Australian journal of zoology,Aust J Zool
Gaceta medica de Caracas,Gac Med Caracas
Journal of community health,J Community Health
The Journal of physiology,J Physiol
Journal of endocrinological investigation,J Endocrinol Invest
Cahiers Leopold Delisle,Cah Leopold Delisle
"Psychiatric bulletin (London, England)",Psychiatr Bull R Coll Psychiatr
Archivio storico lombardo,Arch Stor Lomb
Heart rhythm : the official journal of the Heart Rhythm Society,Heart Rhythm
Jin dai Zhongguo shi yan jiu tong xun,Jin Dai Zhong Shi Yan Jiu Tong Xun
Cytometry. Supplement : the journal of the Society for Analytical Cytology,Cytometry Suppl
Annals of biochemistry and experimental medicine,Ann Biochem Exp Med
Journal of gastroenterology,J Gastroenterol
African research \& documentation,Afr Res Doc
Les Cahiers du College de medecine des hopitaux de Paris,Cah Coll Med Hop Paris
Neural plasticity,Neural Plast
War in history,War Hist
Nature clinical practice. Rheumatology,Nat Clin Pract Rheumatol
Nature reviews. Cancer,Nat Rev Cancer
Clinic odontologia : la revue de l'omnipraticien,Clin Odontol
Clinical neuroscience research,Clin Neurosci Res
Bailliere's clinical haematology,Baillieres Clin Haematol
"Human fertility (Cambridge, England)",Hum Fertil (Camb)
Journal of the New Zealand Society of Periodontology,J N Z Soc Periodontol
Advances in microbial ecology,Adv Microb Ecol
"Minerva (Arlington, Va.)",Minerva (Arlingt Va)
Bulletin der Schweizerischen Akademie der Medizinischen Wissenschaften,Bull Schweiz Akad Med Wiss
"Code of federal regulations. 46, Shipping",Code Fed Regul Shipping
Current opinion in infectious diseases,Curr Opin Infect Dis
The Environmentalist,Environmentalist
The Bodleian Library record,Bodleian Libr Rec
"Early childhood services (San Diego, Calif.)",Early Child Serv (San Diego)
Critical reviews in neurosurgery : CR,Crit Rev Neurosurg
Head \& neck surgery,Head Neck Surg
Radiologia clinica et biologica,Radiol Clin Biol
Langmuir : the ACS journal of surfaces and colloids,Langmuir
NACDL journal,NACDL J
Research; a journal of science and its applications,Research
Zeitschrift fur arztliche Fortbildung. Beiheft,Z Arztl Fortbild Beih (Jena)
"Communique (Milwaukee, Wis.)",Communique
Zeitschrift fur allgemeine Wissenschaftstheorie. Journal for general philosophy of science,Z Allg Wissenschaftstheor
World politics,World Polit
Acta chirurgiae plasticae,Acta Chir Plast
Industrial and organizational psychology,Ind Organ Psychol
Cognitive development,Cogn Dev
Journal of experimental social psychology,J Exp Soc Psychol
Antiviral therapy,Antivir Ther
The Journal of family and culture,J Fam Cult
Zeitschrift fur Ernahrungswissenschaft,Z Ernahrungswiss
Studies in human ecology,Stud Hum Ecol
European journal of marketing,Eur J Mark
American journal of diseases of children (1960),Am J Dis Child
Acta Belgica historiae medicinae : official journal of the Belgian Association for the History of Medicine / Societas Belgica Historiae Medicinae,Acta Belg Hist Med
al-'Arabi,Al-Arabi
"Ciencia (Mexico City, Mexico)",Cienc Cienc (Mex City Mex)
Nursing success today,Nurs Success Today
EDTNA/ERCA journal (English ed.),EDTNA ERCA J
"Geomorphology (Amsterdam, Netherlands)",Geomorphology (Amst)
European law review,Eur Law Rev
Journal of contemporary African studies : JCAS,J Contemp Afr Stud
Cell research,Cell Res
Chemistry \& biodiversity,Chem Biodivers
The Behavior analyst / MABA,Behav Anal
International journal of molecular epidemiology and genetics,Int J Mol Epidemiol Genet
Kaiin dayori. [Membership news]. Nippon Kontakuto Renzu Gakkai,Kaiin Dayori Nihon Kontakuto Renzu Gakkai
Proceedings of the Nutrition Society of India,Proc Nutr Soc India
Journal of the Society for Integrative Oncology,J Soc Integr Oncol
ACM transactions on knowledge discovery from data,ACM Trans Knowl Discov Data
Journal of pharmacology \& pharmacotherapeutics,J Pharmacol Pharmacother
Yod,Yod
Journal of exercise science and fitness,J Exerc Sci Fit
Nursing Research Conference,Nurs Res Conf
The neuroradiology journal,Neuroradiol J
"InTouch (Melville, N.Y.)",InTouch
Gastrointestinal cancer research : GCR,Gastrointest Cancer Res
Transfusion medicine and hemotherapy : offizielles Organ der Deutschen Gesellschaft fur Transfusionsmedizin und Immunhamatologie,Transfus Med Hemother
New directions for youth development,New Dir Youth Dev
British heart journal,Br Heart J
Quipu,Quipu
AIDSED newsletter : newsletter of the WHO/Unesco AIDS Education and Health Promotion Materials Exchange Centre for Asia and the Pacific,AIDSED Newsl
Archives de l'Institut Pasteur hellenique,Arch Inst Pasteur Hell
WHO chronicle,WHO Chron
Siirtolaisuus / Siirtolaisuusinstituutti = Migration / Institute of Migration,Siirtolaisuus
Advances in food and nutrition research,Adv Food Nutr Res
Radiation research. Supplement,Radiat Res Suppl
"Revista de salud publica (Bogota, Colombia)",Rev Salud Publica (Bogota)
Archeion iatrikon epistemon,Arch Iatr Epistem
[Yan jiu bao gao] Science reports of the National Taiwan University. Guo li Taiwan da xue. Xin li xue xi,Yan Jiu Bao Gao
University of Newcastle upon Tyne medical gazette,Univ Newcastle Tyne Med Gaz
The Journal of obstetrics and gynaecology of the British Empire,J Obstet Gynaecol Br Emp
Complementary therapies in clinical practice,Complement Ther Clin Pract
Journal of comparative and physiological psychology,J Comp Physiol Psychol
Kazanskii meditsinskii zhurnal,Kazan Med Zh
Paediatria Danubiana ...,Paediatr Danub
"Manuscripts (New York, N.Y.)",Manuscripts (N Y)
Journal of atrial fibrillation,J Atr Fibrillation
Beitrage zur Hochschul- und Wissenschaftsgeschichte Erfurts / herausgegeben vom Rektor der Medizinischen Akademie Erfurt,Beitr Hochsch Wissenschaftsgesch Erfurts
Hygeia,Hygeia
Psychoanalytic psychology,Psychoanal Psychol
Gonzaga law review,Gonzaga Law Rev
Scandinavian journal of urology and nephrology,Scand J Urol Nephrol
Statistical science : a review journal of the Institute of Mathematical Statistics,Stat Sci
"Presse medicale (Paris, France : 1983)",Presse Med
Revista medica latino-americana,Rev Med Latinoam
Inter-American economic affairs,Inter Am Econ Aff
Tuberkulozis,Tuberkulozis
Advances in cardiac surgery,Adv Card Surg
Vesalius : acta internationales historiae medicinae,Vesalius
Online journal of rural nursing and health care : the official journal of the Rural Nurse Organization,Online J Rural Nurs Health Care
Arbeiten zur Geschichte der Medizin in Giessen,Arb Gesch Med Giessen
"Revista de chirurgie, oncologie, radiologie, o. r. l., oftalmologie, stomatologie. Seria: Stomatologie",Rev Chir Oncol Radiol O R L Oftalmol Stomatol Ser Stomatol
Frontiers in synaptic neuroscience,Front Synaptic Neurosci
[Kango] Japanese journal of nursing,Kango
Revista chilena de odontoestomatologia,Rev Chil Odontoestomatol
Journal belge de medecine physique et de rehabilitation. Belgisch tijdschrift voor fysische geneeskunde en rehabilitatie,J Belge Med Phys Rehabil
"Tetrahedron, asymmetry",Tetrahedron Asymmetry
EMS magazine,EMS Mag
Rivista di ostetricia e ginecologia,Riv Ostet Ginecol
Journal of fish diseases,J Fish Dis
Zhonghua er ke za zhi. Chinese journal of pediatrics,Zhonghua Er Ke Za Zhi
Nicotine \& tobacco research : official journal of the Society for Research on Nicotine and Tobacco,Nicotine Tob Res
Transactions. National Safety Council. National Safety Congress,Trans Natl Saf Congr
U.S. Catholic,US Cathol
"Medicina, cirurgia, farmacia",Med Cir Farm
Tydskrif vir studies in ekonomie en ekonometrie = Journal for studies in economics and econometrics,Tydskr Stud Ekon Ekon
The women's health data book : a profile of women's health in the United States / [Jacob's Institute of Women's Health],Womens Health Data Book
Motivation and emotion,Motiv Emot
La Presse medicale,Presse Med
Cultural diversity \& ethnic minority psychology,Cultur Divers Ethnic Minor Psychol
Longevita,Longevita
Rassegna storica del Risorgimento : organo della Societa nazionale per la storia del Risorgimento italiano,Rass Stor Risorgim
Journal of veterinary pharmacology and therapeutics,J Vet Pharmacol Ther
Journal of organ dysfunction,J Organ Dysfunct
Vernon's annotated Revised civil statutes of the state of Texas. Texas,Vernons Annot Revis Civ Statut State Tex Tex
Pharmaceutics,Pharmaceutics
Mikrochimica acta,Mikrochim Acta
Quintessencia de protese de laboratorio,Quintessencia Protese Lab
"Revista de enfermeria (Barcelona, Spain)",Rev Enferm
Journal of trace elements and electrolytes in health and disease,J Trace Elem Electrolytes Health Dis
Genome dynamics and stability,Genome Dyn Stab
Journal of Parkinson's disease,J Parkinsons Dis
Medecine legale et dommage corporel,Med Leg Dommage Corpor
Copeia,Copeia
Osterreich in Geschichte und Literatur mit Geographie,Osterr Gesch Lit Geogr
"Dentist (Waco, Tex.)",Dentist
L'Archiginnasio : bullettino della Biblioteca comunale di Bologna,Archiginnasio
Ethnologie francaise,Ethnol Fr
Der Unfallchirurg,Unfallchirurg
Arthropod structure \& development,Arthropod Struct Dev
Borgyogyaszati es venerologiaia szemle,Borgyogy Venerol Sz
International urogynecology journal,Int Urogynecol J
Stateco,Stateco
Zeitschrift fur Morphologie und Anthropologie,Z Morphol Anthropol
"Hormones (Athens, Greece)",Hormones (Athens)
Archifacts,Archifacts
Japanese circulation journal,Jpn Circ J
Middle East dentistry \& oral health,Middle East Dent Oral Health
Assistenza infermieristica e ricerca : AIR,Assist Inferm Ric
Journal of children's services,J Child Serv
Education and urban society,Educ Urban Soc
The Annals of thoracic surgery,Ann Thorac Surg
